,idm_ioibge,NomeDSEI,StatusDSEI,NumDSEI,muni_name,uf_muni,City coverage(%),Number of paths covered,MoH sentinel
3897,2408003,,,0,Mossoró,Rio Grande do Norte,0.47401,41618.0,0.0
1171,3136702,,,0,Juiz de Fora,Minas Gerais,0.47782,41953.0,0.0
4112,2510808,,,0,Patos,Paraíba,0.49348,43328.0,0.0
5187,4115200,,,0,Maringá,Paraná,0.50815,44616.0,1.0
1066,3127701,Minas Gerais e Espírito Santo,Integral,1,Governador Valadares,Minas Gerais,0.53967,47383.0,1.0
4593,2903201,,,0,Barreiras,Bahia,0.55126,48401.0,1.0
3178,1721000,Tocantins,Integral,1,Palmas,Tocantins,0.5527,48527.0,1.0
4244,2604106,Pernambuco,Integral,1,Caruaru,Pernambuco,0.55652,48863.0,1.0
4906,3541406,,,0,Presidente Prudente,São Paulo,0.56271,49406.0,0.0
4387,2700300,Alagoas e Sergipe,Integral,1,Arapiraca,Alagoas,0.56295,49427.0,1.0
538,5002704,Mato Grosso do Sul,Integral,1,Campo Grande,Mato Grosso do Sul,0.60313,52955.0,1.0
3561,2208007,,,0,Picos,Piauí,0.61333,53851.0,0.0
4072,2507507,Potiguara,Integral,1,João Pessoa,Paraíba,0.61675,54151.0,1.0
2292,3549805,,,0,São José do Rio Preto,São Paulo,0.65084,57144.0,1.0
611,5103403,Cuiabá,Integral,1,Cuiabá,Mato Grosso,0.66178,58105.0,1.0
4431,2704302,Alagoas e Sergipe,Integral,1,Maceió,Alagoas,0.66917,58753.0,1.0
191,4304705,Interior Sul,Integral,1,Carazinho,Rio Grande do Sul,0.75592,66370.0,0.0
5095,4104808,,,0,Cascavel,Paraná,0.84726,74390.0,1.0
4331,2611606,Pernambuco,Integral,1,Recife,Pernambuco,0.96174,84441.0,1.0
3370,2111300,Maranhão,Integral,1,São Luís,Maranhão,1.01364,88998.0,1.0
3898,2408102,,,0,Natal,Rio Grande do Norte,1.04207,91494.0,1.0
4659,2910800,Bahia,Integral,1,Feira de Santana,Bahia,1.10152,96714.0,1.0
4489,2800308,,,0,Aracaju,Sergipe,1.17717,103356.0,1.0
4028,2504009,,,0,Campina Grande,Paraíba,1.21621,106784.0,1.0
1749,3304557,Litoral Sul,Integral,1,Rio de Janeiro,Rio de Janeiro,1.27305,111774.0,1.0
3617,2211001,,,0,Teresina,Piauí,1.27465,111915.0,1.0
1877,3509502,,,0,Campinas,São Paulo,1.3121,115203.0,1.0
4800,2927408,Bahia,Integral,1,Salvador,Bahia,1.33486,117201.0,1.0
5337,4106902,Litoral Sul,Integral,1,Curitiba,Paraná,1.35167,118677.0,1.0
2818,5300108,,,0,Brasília,Distrito Federal,1.41899,124588.0,1.0
2948,1501402,Guamá-Tocantins,Integral,1,Belém,Pará,1.44152,126566.0,1.0
2615,4314902,Litoral Sul,Integral,1,Porto Alegre,Rio Grande do Sul,1.87804,164893.0,1.0
3684,2304400,Ceará,Integral,1,Fortaleza,Ceará,1.88299,165327.0,1.0
2709,5208707,Araguaia,Integral,1,Goiânia,Goiás,2.32565,204193.0,1.0
817,3106200,,,0,Belo Horizonte,Minas Gerais,3.36193,295179.0,1.0
2298,3550308,Litoral Sul,Integral,1,São Paulo,São Paulo,5.4004,474158.0,1.0
