idcidade,Municipio,idm_ioibge,Area_MUN,idestado,estado,idmicro,mic_regiao,idmeso,mes_regiao,capital,populacao,fonte,NomeDSEI,StatusDSEI,NumDSEI
BR411420,Mandaguari,4114203,335.814,BR41,PR,BR41009,Maringá,BR4103,Norte Central Paranaense,0,34289,IBGE (2015), ,,0
BR411435,Manfrinópolis,4114351,216.415,BR41,PR,BR41026,Francisco Beltrão,BR4107,Sudoeste Paranaense,0,2954,IBGE (2015), ,,0
BR411440,Mangueirinha,4114401,1055.458,BR41,PR,BR41030,Palmas,BR4108,Centro-Sul Paranaense,0,17334,IBGE (2015),Interior Sul,Integral,1
BR411450,Manoel Ribas,4114500,571.135,BR41,PR,BR41013,Ivaiporã,BR4103,Norte Central Paranaense,0,13660,IBGE (2015),Interior Sul,Integral,1
BR411460,Marechal Cândido Rondon,4114609,748.002,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,50808,IBGE (2015),Interior Sul,Integral,1
BR411470,Maria Helena,4114708,486.224,BR41,PR,BR41002,Umuarama,BR4101,Noroeste Paranaense,0,5982,IBGE (2015), ,,0
BR411480,Marialva,4114807,475.564,BR41,PR,BR41009,Maringá,BR4103,Norte Central Paranaense,0,34388,IBGE (2015), ,,0
BR411500,Marilena,4115002,232.363,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,7134,IBGE (2015), ,,0
BR411510,Mariluz,4115101,433.17,BR41,PR,BR41002,Umuarama,BR4101,Noroeste Paranaense,0,10541,IBGE (2015), ,,0
BR411520,Maringá,4115200,487.052,BR41,PR,BR41009,Maringá,BR4103,Norte Central Paranaense,0,397437,IBGE (2015), ,,0
BR411530,Mariópolis,4115309,230.365,BR41,PR,BR41027,Pato Branco,BR4107,Sudoeste Paranaense,0,6585,IBGE (2015),Interior Sul,Integral,1
BR411535,Maripá,4115358,283.793,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,5793,IBGE (2015), ,,0
BR411540,Marmeleiro,4115408,387.381,BR41,PR,BR41026,Francisco Beltrão,BR4107,Sudoeste Paranaense,0,14470,IBGE (2015), ,,0
BR411545,Marquinho,4115457,511.148,BR41,PR,BR41029,Guarapuava,BR4108,Centro-Sul Paranaense,0,4871,IBGE (2015),Interior Sul,Integral,1
BR411550,Marumbi,4115507,208.47,BR41,PR,BR41012,Faxinal,BR4103,Norte Central Paranaense,0,4755,IBGE (2015), ,,0
BR411560,Matelândia,4115606,639.746,BR41,PR,BR41024,Foz do Iguaçu,BR4106,Oeste Paranaense,0,17340,IBGE (2015),Interior Sul,Integral,1
BR411573,Mato Rico,4115739,394.533,BR41,PR,BR41028,Pitanga,BR4108,Centro-Sul Paranaense,0,3668,IBGE (2015),Interior Sul,Integral,1
BR411580,Medianeira,4115804,328.732,BR41,PR,BR41024,Foz do Iguaçu,BR4106,Oeste Paranaense,0,44885,IBGE (2015),Interior Sul,Integral,1
BR411585,Mercedes,4115853,200.864,BR41,PR,BR41022,Toledo,BR4106,Oeste Paranaense,0,5398,IBGE (2015),Interior Sul,Integral,1
BR411590,Mirador,4115903,221.708,BR41,PR,BR41001,Paranavaí,BR4101,Noroeste Paranaense,0,2334,IBGE (2015), ,,0
BR411600,Miraselva,4116000,90.294,BR41,PR,BR41007,Porecatu,BR4103,Norte Central Paranaense,0,1885,IBGE (2015), ,,0
BR411605,Missal,4116059,324.397,BR41,PR,BR41024,Foz do Iguaçu,BR4106,Oeste Paranaense,0,10847,IBGE (2015),Interior Sul,Integral,1
BR411610,Moreira Sales,4116109,353.772,BR41,PR,BR41004,Goioerê,BR4102,Centro Ocidental Paranaense,0,12709,IBGE (2015), ,,0
BR411630,Munhoz de Melo,4116307,137.018,BR41,PR,BR41006,Astorga,BR4103,Norte Central Paranaense,0,3909,IBGE (2015), ,,0
BR411640,Nossa Senhora das Graças,4116406,185.769,BR41,PR,BR41006,Astorga,BR4103,Norte Central Paranaense,0,4064,IBGE (2015), ,,0
